Date,Open,High,Low,Close,Volume
2021-12-31,178.085,179.23,177.26,177.57,64062261
2021-12-30,179.47,180.57,178.09,178.2,59773014
2021-12-29,179.33,180.63,178.14,179.38,62348931
2021-12-28,180.16,181.33,178.53,179.29,79144339
2021-12-27,177.085,180.42,177.07,180.33,74919582
2021-12-23,175.85,176.8499,175.27,176.28,68356567
2021-12-22,173.04,175.86,172.15,175.64,92135303
2021-12-21,171.555,173.2,169.12,172.99,91185905
2021-12-20,168.28,170.58,167.46,169.75,107499114
2021-12-17,169.93,173.47,169.69,171.14,195923441
2021-12-16,179.28,181.14,170.75,172.26,150185843
2021-12-15,175.11,179.5,172.3108,179.3,131063257
2021-12-14,175.25,177.74,172.21,174.33,139380382
2021-12-13,181.115,182.13,175.53,175.74,153237019
2021-12-10,175.205,179.63,174.69,179.45,115402731
2021-12-09,174.91,176.75,173.92,174.56,108923739
2021-12-08,172.125,175.96,170.7,175.08,116998901
2021-12-07,169.08,171.58,168.34,171.18,120405352
2021-12-06,164.29,167.8799,164.28,165.32,107496982
2021-12-03,164.02,164.96,159.72,161.84,118023116
2021-12-02,158.735,164.2,157.8,163.76,136739174
2021-12-01,167.48,170.3,164.53,164.77,152423003
2021-11-30,159.985,165.52,159.92,165.3,174048056
2021-11-29,159.37,161.19,158.7901,160.24,88748217
2021-11-26,159.565,160.45,156.36,156.81,76959752
2021-11-24,160.75,162.14,159.64,161.94,69463623
2021-11-23,161.12,161.8,159.0601,161.41,96041899
2021-11-22,161.68,165.7,161.0,161.02,117467889
2021-11-19,157.65,161.02,156.5328,160.55,117305597
2021-11-18,153.71,158.67,153.05,157.87,137827673
2021-11-17,150.995,155.0,150.99,153.49,88807000
2021-11-16,149.94,151.488,149.34,151.0,59256210
2021-11-15,150.37,151.88,149.43,150.0,59222803
2021-11-12,148.43,150.4,147.48,149.99,63804008
2021-11-11,148.96,149.43,147.681,147.87,40999950
2021-11-10,150.02,150.13,147.85,147.92,65187092
2021-11-09,150.2,151.428,150.0601,150.81,56787930
2021-11-08,151.41,151.57,150.16,150.44,55020868
2021-11-05,151.89,152.2,150.06,151.28,65463883
2021-11-04,151.36,152.21,150.42,150.74,60482760
2021-11-03,150.17,151.75,149.6,151.27,54591092
2021-11-02,148.44,151.35,148.43,149.8,69222868
2021-11-01,148.77,149.48,147.58,148.74,74697117
2021-10-29,147.0,149.72,146.2,149.58,125135533
2021-10-28,149.6,152.94,149.5,152.35,100223948
2021-10-27,149.14,149.51,148.27,148.63,56176798
2021-10-26,149.11,150.62,148.79,149.1,60982267
2021-10-25,148.46,149.15,147.41,148.42,50794581
2021-10-22,149.47,149.96,148.42,148.47,58969381
2021-10-21,148.59,149.42,147.65,149.26,61510632
2021-10-20,148.48,149.54,147.9,149.04,58504048
2021-10-19,146.79,148.95,146.34,148.54,76490366
2021-10-18,143.24,146.63,142.95,146.34,85714090
2021-10-15,143.56,144.68,143.3,144.63,68039491
2021-10-14,141.9,143.67,141.3,143.55,70009127
2021-10-13,141.03,141.19,139.0,140.7,78877673
2021-10-12,143.02,143.04,140.83,141.3,73142452
2021-10-11,142.06,144.6,141.6,142.6,64546285
2021-10-08,143.82,143.97,142.35,142.69,58858932
2021-10-07,142.85,144.0,142.51,143.08,61822753
2021-10-06,139.27,141.94,138.17,141.79,83342577
2021-10-05,139.29,142.03,139.16,140.9,80979076
2021-10-04,141.55,142.0,138.07,138.94,98465506
2021-10-01,141.69,142.71,138.91,142.44,94777704
2021-09-30,143.45,144.17,141.07,141.29,89186639
2021-09-29,142.26,144.24,141.82,142.62,74710923
2021-09-28,143.04,144.54,141.48,141.7,109131381
2021-09-27,145.26,145.75,143.61,145.16,74258950
2021-09-24,145.45,147.26,145.35,146.71,53555918
2021-09-23,146.44,146.87,145.43,146.62,64932799
2021-09-22,144.24,146.22,143.49,145.64,76515851
2021-09-21,143.72,144.39,142.57,143.22,75944639
2021-09-20,143.59,144.63,141.06,142.73,123659076
2021-09-17,148.6,148.6,145.55,145.85,130058363
2021-09-16,148.22,148.75,147.01,148.57,68133443
2021-09-15,148.34,149.22,146.16,148.81,83402861
2021-09-14,150.13,150.85,146.7,147.9,109455809
2021-09-13,150.41,151.2,148.53,149.33,102553785
2021-09-10,154.77,155.25,148.48,148.75,141098864
2021-09-09,155.26,155.88,153.73,153.85,57389366
2021-09-08,156.75,156.81,153.75,154.88,74528821
2021-09-07,154.74,157.03,154.17,156.46,82398343
2021-09-03,153.54,154.4,152.87,154.08,57950520
2021-09-02,153.65,154.49,152.18,153.43,71275189
2021-09-01,152.61,154.75,152.12,152.29,80430926
2021-08-31,152.44,152.58,151.07,151.61,86579292
2021-08-30,148.78,153.27,148.39,152.9,91089471
2021-08-27,147.27,148.53,146.62,148.38,55883830
2021-08-26,148.15,148.9,147.3,147.32,48668121
2021-08-25,149.59,150.1,147.58,148.14,59077393
2021-08-24,149.23,150.64,148.93,149.4,48677367
2021-08-23,148.09,149.97,147.67,149.49,60219570
2021-08-20,147.23,148.28,146.57,147.97,60638000
2021-08-19,144.82,147.78,144.29,146.49,87087226
2021-08-18,149.58,150.5,145.94,146.15,86451980
2021-08-17,150.01,151.46,148.87,149.97,92364341
2021-08-16,148.32,150.97,146.26,150.9,103709923
2021-08-13,148.75,149.23,148.05,148.88,59461665
2021-08-12,145.98,148.83,145.63,148.67,73886791
2021-08-11,145.84,146.51,145.32,145.65,48564238
2021-08-10,146.23,147.49,145.09,145.39,69123818
2021-08-09,145.99,146.49,145.31,145.88,48980070
2021-08-06,146.14,146.9,145.42,145.93,54205809
2021-08-05,146.55,147.4,145.74,146.63,46535005
2021-08-04,146.84,147.35,145.85,146.52,56535115
2021-08-03,145.38,147.6,144.75,146.93,64978379
2021-08-02,145.93,146.52,144.82,145.09,63066079
2021-07-30,143.95,145.9,143.68,145.43,70649122
2021-07-29,144.26,146.12,144.15,145.21,56867299
2021-07-28,144.41,146.54,142.12,144.55,119283213
2021-07-27,148.69,148.77,145.12,146.34,105128828
2021-07-26,147.83,149.39,147.27,148.55,72648486
2021-07-23,147.12,148.28,146.49,148.12,71658892
2021-07-22,145.51,147.75,145.38,146.37,77567068
2021-07-21,145.1,145.7,144.2,144.97,75215431
2021-07-20,143.04,146.67,142.54,145.72,96635220
2021-07-19,143.32,143.64,141.25,142.03,121794003
2021-07-16,148.02,149.32,145.45,145.96,93527439
2021-07-15,148.8,149.56,146.66,148.04,107136472
2021-07-14,147.66,149.13,147.25,148.71,127426840
2021-07-13,143.63,147.03,143.21,145.21,101125535
2021-07-12,145.78,145.89,143.57,144.07,76525557
2021-07-09,142.33,145.22,142.23,144.68,100186465
2021-07-08,141.16,143.63,140.25,142.82,105887949
2021-07-07,143.11,144.46,142.24,144.14,105222115
2021-07-06,139.66,142.73,139.66,141.6,108501998
2021-07-02,137.49,139.59,137.34,139.55,79179242
2021-07-01,136.2,136.92,135.36,136.86,52641133
2021-06-30,135.77,137.0,135.47,136.56,63448639
2021-06-29,134.4,136.09,133.95,135.93,64747160
2021-06-28,133.02,134.84,132.96,134.38,62295145
2021-06-25,133.07,133.5,132.42,132.72,70993257
2021-06-24,134.05,134.24,132.54,133.02,68914375
2021-06-23,133.38,133.92,132.84,133.31,60392427
2021-06-22,131.74,133.68,131.23,133.59,75004969
2021-06-21,129.92,132.02,128.83,131.91,79899110
2021-06-18,130.32,131.12,129.86,130.07,109275798
2021-06-17,129.42,132.16,129.27,131.4,97007954
2021-06-16,129.98,130.5,128.08,129.77,92086788
2021-06-15,129.56,130.21,129.01,129.26,62932053
2021-06-14,127.44,130.15,126.7,130.09,97193322
2021-06-11,126.16,127.06,125.73,126.97,53680793
2021-06-10,126.65,127.81,125.57,125.74,71397125
2021-06-09,126.83,127.37,126.15,126.76,57046289
2021-06-08,126.23,128.08,125.84,126.37,74624001
2021-06-07,125.8,125.95,124.47,125.53,71267872
2021-06-04,123.7,125.79,123.48,125.52,75391836
2021-06-03,124.31,124.48,122.77,123.18,76454800
2021-06-02,123.92,124.87,123.68,124.69,59454320
2021-06-01,124.71,124.98,123.57,123.91,67837316
2021-05-28,125.2,125.43,124.18,124.24,71522181
2021-05-27,126.07,127.26,124.71,124.91,94905682
2021-05-26,126.59,127.01,126.05,126.48,56743378
2021-05-25,127.44,127.94,125.95,126.53,72222622
2021-05-24,125.64,127.56,125.57,126.73,63279693
2021-05-21,127.44,127.62,124.84,125.06,79530141
2021-05-20,124.86,127.34,124.73,126.93,77084611
2021-05-19,122.8,124.55,122.5,124.32,92886110
2021-05-18,126.19,126.62,124.41,124.48,63530416
2021-05-17,126.45,126.56,124.8,125.9,74464379
2021-05-14,125.88,127.51,125.48,127.07,82160419
2021-05-13,124.21,125.78,123.89,124.6,106174677
2021-05-12,123.04,124.27,121.89,122.41,112504299
2021-05-11,123.14,125.9,122.41,125.54,126516194
2021-05-10,129.03,129.16,126.44,126.48,88331910
2021-05-07,130.46,130.87,129.09,129.83,79207025
2021-05-06,127.29,129.15,126.54,129.14,78492685
2021-05-05,128.6,129.85,127.37,127.5,84392637
2021-05-04,130.58,130.88,126.12,127.25,138206250
2021-05-03,131.43,133.45,131.22,131.93,75485492
2021-04-30,131.17,132.94,130.45,130.85,110351701
2021-04-29,135.84,136.44,131.84,132.86,151805610
2021-04-28,133.68,134.39,132.46,132.96,108262635
2021-04-27,134.38,134.78,133.49,133.76,66323668
2021-04-26,134.2,134.43,132.94,134.09,67217080
2021-04-23,131.55,134.49,131.55,133.69,79124061
2021-04-22,132.42,133.53,130.8,131.33,84960831
2021-04-21,131.75,133.13,130.69,132.88,69168204
2021-04-20,134.39,134.9,131.2,132.49,95254505
2021-04-19,132.89,134.84,132.72,134.21,94703815
2021-04-16,133.67,134.04,132.66,133.54,85318420
2021-04-15,133.2,134.37,133.02,133.87,89763771
2021-04-14,134.31,134.37,131.04,131.42,87629545
2021-04-13,131.83,134.03,131.32,133.8,91692165
2021-04-12,131.91,132.23,130.02,130.63,91846319
2021-04-09,129.2,132.42,128.87,132.38,107184236
2021-04-08,128.35,129.79,127.92,129.76,89258918
2021-04-07,125.25,127.32,124.56,127.3,83855963
2021-04-06,125.92,126.54,125.07,125.63,80545131
2021-04-05,123.3,125.58,122.5,125.32,89064598
2021-04-01,123.09,123.6,121.92,122.43,75439312
2021-03-31,121.08,122.95,120.58,121.58,118875627
2021-03-30,119.56,119.85,118.31,119.35,86071449
2021-03-29,121.08,122.01,120.17,120.82,81196102
2021-03-26,119.8,120.91,118.37,120.64,94509934
2021-03-25,118.99,121.09,118.45,120.03,99305643
2021-03-24,122.25,122.33,119.51,119.54,88943346
2021-03-23,122.76,123.66,121.57,121.97,95912353
2021-03-22,119.78,123.3,119.71,122.82,112434186
2021-03-19,119.35,120.86,119.12,119.44,186414831
2021-03-18,122.31,122.61,119.77,119.97,122036228
2021-03-17,123.47,125.28,121.77,124.18,112454633
2021-03-16,125.12,126.63,124.13,124.99,115765300
2021-03-15,120.84,123.42,119.87,123.41,93022350
2021-03-12,119.85,120.6,118.61,120.46,88515927
2021-03-11,121.97,122.64,120.69,121.39,103506978
2021-03-10,121.12,121.6,118.9,119.43,112465373
2021-03-09,118.48,121.49,118.24,120.52,130129822
2021-03-08,120.36,120.43,115.67,115.82,155096543
2021-03-05,120.41,121.37,117.02,120.85,154483690
2021-03-04,121.18,123.03,118.07,119.58,178985798
2021-03-03,124.23,125.13,121.27,121.49,113493157
2021-03-02,127.81,128.12,124.43,124.54,102737838
2021-03-01,123.18,127.33,122.22,127.19,116850293
2021-02-26,122.02,124.27,120.63,120.69,165327820
2021-02-25,124.1,125.87,119.98,120.42,148890667
2021-02-24,124.36,124.98,121.66,124.77,111557738
2021-02-23,123.19,126.13,117.84,125.28,159011126
2021-02-22,127.41,129.12,125.02,125.42,104401032
2021-02-19,129.64,130.1,128.2,129.27,88077676
2021-02-18,128.6,129.39,126.81,129.11,97308438
2021-02-17,130.64,131.61,128.87,130.23,98542669
2021-02-16,134.86,135.38,132.17,132.57,80952083
2021-02-12,133.72,134.9,133.08,134.74,60425616
2021-02-11,135.27,135.76,133.15,134.5,64579799
2021-02-10,135.85,136.36,133.77,134.76,73387214
2021-02-09,135.99,137.23,135.22,135.38,77132249
2021-02-08,135.4,136.33,134.29,136.28,71629708
2021-02-05,136.71,136.78,135.23,136.13,76046827
2021-02-04,135.47,136.56,133.76,136.55,84702032
2021-02-03,134.93,134.94,132.79,133.12,90435035
2021-02-02,134.9,135.48,133.78,134.16,83818927
2021-02-01,132.93,134.55,130.12,133.32,106894769
2021-01-29,135.0,135.91,129.42,131.15,178618209
2021-01-28,138.66,141.12,135.87,136.26,143500357
2021-01-27,142.56,143.41,139.55,141.19,141712032
